iter	Passed	Remaining
0	98	125844
1	194	123672
2	300	127634
3	403	128366
4	539	137232
5	653	138331
6	748	135637
7	828	131365
8	924	130132
9	1006	127378
10	1089	125315
11	1163	122542
12	1241	120628
13	1317	118796
14	1402	117871
15	1478	116470
16	1552	115002
17	1627	113743
18	1703	112711
19	1776	111594
20	1850	110599
21	1924	109687
22	1992	108536
23	2063	107668
24	2138	106992
25	2211	106330
26	2274	105195
27	2344	104513
28	2417	103972
29	2490	103452
30	2562	102898
31	2629	102223
32	2696	101584
33	2755	100642
34	2828	100307
35	2905	100061
36	2980	99820
37	3058	99626
38	3132	99357
39	3210	99201
40	3286	99007
41	3361	98756
42	3426	98242
43	3494	97851
44	3559	97377
45	3623	96883
46	3687	96424
47	3756	96096
48	3824	95774
49	3897	95565
50	3966	95271
51	4029	94839
52	4102	94664
53	4170	94372
54	4241	94154
55	4315	94013
56	4396	94026
57	4469	93862
58	4535	93561
59	4606	93361
60	4669	93013
61	4740	92813
62	4805	92531
63	4884	92502
64	4953	92291
65	5025	92139
66	5099	92024
67	5171	91873
68	5246	91784
69	5321	91679
70	5391	91499
71	5462	91337
72	5531	91159
73	5598	90942
74	5660	90644
75	5730	90478
76	5801	90332
77	5869	90144
78	5934	89914
79	6002	89740
80	6070	89560
81	6143	89459
82	6214	89321
83	6278	89095
84	6352	89004
85	6424	88892
86	6494	88760
87	6556	88511
88	6625	88363
89	6690	88163
90	6766	88112
91	6834	87955
92	6904	87831
93	6975	87719
94	7038	87493
95	7103	87309
96	7177	87234
97	7245	87095
98	7315	86969
99	7393	86947
100	7465	86856
101	7536	86739
102	7604	86605
103	7675	86494
104	7743	86360
105	7807	86180
106	7875	86036
107	7941	85884
108	8018	85850
109	8081	85659
110	8152	85561
111	8222	85450
112	8298	85405
113	8364	85256
114	8435	85159
115	8499	84993
116	8559	84792
117	8635	84748
118	8696	84555
119	8772	84510
120	8838	84363
121	8910	84281
122	8975	84133
123	9038	83971
124	9104	83836
125	9179	83776
126	9244	83639
127	9310	83506
128	9381	83415
129	9446	83272
130	9515	83165
131	9587	83087
132	9659	83013
133	9739	83006
134	9811	82923
135	9878	82801
136	9947	82702
137	10007	82524
138	10074	82409
139	10147	82342
140	10228	82333
141	10295	82222
142	10355	82047
143	10415	81875
144	10486	81793
145	10547	81633
146	10613	81515
147	10681	81408
148	10752	81328
149	10820	81227
150	10886	81111
151	10960	81049
152	11028	80948
153	11098	80861
154	11167	80767
155	11243	80721
156	11315	80647
157	11380	80530
158	11450	80439
159	11517	80332
160	11580	80202
161	11653	80137
162	11724	80058
163	11791	79953
164	11863	79882
165	11930	79775
166	11999	79684
167	12072	79623
168	12148	79576
169	12217	79486
170	12286	79397
171	12366	79376
172	12432	79264
173	12505	79203
174	12568	79072
175	12643	79023
176	12713	78939
177	12784	78863
178	12854	78779
179	12925	78704
180	12993	78606
181	13055	78478
182	13115	78334
183	13181	78228
184	13250	78144
185	13322	78075
186	13390	77982
187	13461	77907
188	13532	77830
189	13606	77772
190	13668	77643
191	13731	77523
192	13796	77415
193	13859	77299
194	13928	77213
195	13987	77073
196	14050	76958
197	14119	76871
198	14180	76748
199	14249	76664
200	14328	76631
201	14401	76570
202	14472	76496
203	14543	76425
204	14607	76315
205	14672	76212
